con     temp    cat     rend
1	1	1	72.2
1	1	1	74.4
1	1	1	64.3
1	2	1	65.0
1	2	1	71.6
1	2	1	61.9
2	1	1	74.4
2	1	1	66.3
2	1	1	66.5
2	2	1	69.2
2	2	1	71.8
2	2	1	64.6
3	1	1	75.0
3	1	1	78.9
3	1	1	64.3
3	2	1	70.7
3	2	1	80.6
3	2	1	73.4
4	1	1	80.0
4	1	1	65.0
4	1	1	82.1
4	2	1	73.0
4	2	1	74.4
4	2	1	78.8
1	1	2	62.5
1	1	2	65.8
1	1	2	71.2
1	2	2	75.9
1	2	2	72.9
1	2	2	77.8
2	1	2	70.8
2	1	2	63.9
2	1	2	76.6
2	2	2	79.2
2	2	2	80.1
2	2	2	75.3
3	1	2	76.3
3	1	2	79.1
3	1	2	89.0
3	2	2	83.3
3	2	2	88.0
3	2	2	84.7
4	1	2	72.3
4	1	2	72.4
4	1	2	75.6
4	2	2	80.3
4	2	2	86.9
4	2	2	86.3
1	1	3	69.0
1	1	3	70.3
1	1	3	68.8
1	2	3	73.8
1	2	3	59.2
1	2	3	80.8
2	1	3	69.0
2	1	3	68.2
2	1	3	78.7
2	2	3	84.5
2	2	3	93.7
2	2	3	80.1
3	1	3	72.8
3	1	3	73.7
3	1	3	80.7
3	2	3	94.1
3	2	3	87.3
3	2	3	89.0
4	1	3	78.4
4	1	3	79.9
4	1	3	80.3
4	2	3	87.5
4	2	3	79.7
4	2	3	79.5
